unicode,gardiner,translit,english
𓐝,U+1341D,,
𓐞,U+1341E,,
𓐟,U+1341F,,
𓐠,U+13420,,
𓐡,U+13421,,
𓐢,U+13422,,
𓐣,U+13423,,
𓐤,U+13424,,
𓐥,U+13425,,
𓐦,U+13426,,
𓐧,U+13427,,
𓐨,U+13428,,
𓐩,U+13429,,
𓐪,U+1342A,,
𓐫,U+1342B,,
𓐬,U+1342C,,
𓐭,U+1342D,,
𓐮,U+1342E,,
X0001,SYN-0001,,
X0002,SYN-0002,,
X0003,SYN-0003,,
X0004,SYN-0004,,
X0005,SYN-0005,,
X0006,SYN-0006,,
X0007,SYN-0007,,
X0008,SYN-0008,,
X0009,SYN-0009,,
X000A,SYN-000A,,
X000B,SYN-000B,,
X000C,SYN-000C,,
X000D,SYN-000D,,
X000E,SYN-000E,,
X000F,SYN-000F,,
X0010,SYN-0010,,
X0011,SYN-0011,,
X0012,SYN-0012,,
X0013,SYN-0013,,
X0014,SYN-0014,,
X0015,SYN-0015,,
X0016,SYN-0016,,
X0017,SYN-0017,,
X0018,SYN-0018,,
X0019,SYN-0019,,
X001A,SYN-001A,,
X001B,SYN-001B,,
X001C,SYN-001C,,
X001D,SYN-001D,,
X001E,SYN-001E,,
X001F,SYN-001F,,
X0020,SYN-0020,,
X0021,SYN-0021,,
X0022,SYN-0022,,
X0023,SYN-0023,,
X0024,SYN-0024,,
X0025,SYN-0025,,
X0026,SYN-0026,,
X0027,SYN-0027,,
X0028,SYN-0028,,
X0029,SYN-0029,,
X002A,SYN-002A,,
X002B,SYN-002B,,
X002C,SYN-002C,,
X002D,SYN-002D,,
X002E,SYN-002E,,
X002F,SYN-002F,,
X0030,SYN-0030,,
X0031,SYN-0031,,
X0032,SYN-0032,,
X0033,SYN-0033,,
X0034,SYN-0034,,
X0035,SYN-0035,,
X0036,SYN-0036,,
X0037,SYN-0037,,
X0038,SYN-0038,,
X0039,SYN-0039,,
X003A,SYN-003A,,
X003B,SYN-003B,,
X003C,SYN-003C,,
X003D,SYN-003D,,
X003E,SYN-003E,,
X003F,SYN-003F,,
X0040,SYN-0040,,
X0041,SYN-0041,,
X0042,SYN-0042,,
X0043,SYN-0043,,
X0044,SYN-0044,,
X0045,SYN-0045,,
X0046,SYN-0046,,
X0047,SYN-0047,,
X0048,SYN-0048,,
X0049,SYN-0049,,
X004A,SYN-004A,,
X004B,SYN-004B,,
X004C,SYN-004C,,
X004D,SYN-004D,,
X004E,SYN-004E,,
X004F,SYN-004F,,
X0050,SYN-0050,,
X0051,SYN-0051,,
X0052,SYN-0052,,
X0053,SYN-0053,,
X0054,SYN-0054,,
X0055,SYN-0055,,
X0056,SYN-0056,,
X0057,SYN-0057,,
X0058,SYN-0058,,
X0059,SYN-0059,,
X005A,SYN-005A,,
X005B,SYN-005B,,
X005C,SYN-005C,,
X005D,SYN-005D,,
X005E,SYN-005E,,
X005F,SYN-005F,,
X0060,SYN-0060,,
X0061,SYN-0061,,
X0062,SYN-0062,,
X0063,SYN-0063,,
X0064,SYN-0064,,
X0065,SYN-0065,,
X0066,SYN-0066,,
X0067,SYN-0067,,
X0068,SYN-0068,,
X0069,SYN-0069,,
X006A,SYN-006A,,
X006B,SYN-006B,,
X006C,SYN-006C,,
X006D,SYN-006D,,
X006E,SYN-006E,,
X006F,SYN-006F,,
X0070,SYN-0070,,
X0071,SYN-0071,,
X0072,SYN-0072,,
X0073,SYN-0073,,
X0074,SYN-0074,,
X0075,SYN-0075,,
X0076,SYN-0076,,
X0077,SYN-0077,,
X0078,SYN-0078,,
X0079,SYN-0079,,
X007A,SYN-007A,,
X007B,SYN-007B,,
X007C,SYN-007C,,
X007D,SYN-007D,,
X007E,SYN-007E,,
X007F,SYN-007F,,
X0080,SYN-0080,,
X0081,SYN-0081,,
X0082,SYN-0082,,
X0083,SYN-0083,,
X0084,SYN-0084,,
X0085,SYN-0085,,
X0086,SYN-0086,,
X0087,SYN-0087,,
X0088,SYN-0088,,
X0089,SYN-0089,,
X008A,SYN-008A,,
X008B,SYN-008B,,
X008C,SYN-008C,,
X008D,SYN-008D,,
X008E,SYN-008E,,
X008F,SYN-008F,,
X0090,SYN-0090,,
X0091,SYN-0091,,
X0092,SYN-0092,,
X0093,SYN-0093,,
X0094,SYN-0094,,
X0095,SYN-0095,,
X0096,SYN-0096,,
X0097,SYN-0097,,
X0098,SYN-0098,,
X0099,SYN-0099,,
X009A,SYN-009A,,
X009B,SYN-009B,,
X009C,SYN-009C,,
X009D,SYN-009D,,
X009E,SYN-009E,,
X009F,SYN-009F,,
X00A0,SYN-00A0,,
X00A1,SYN-00A1,,
X00A2,SYN-00A2,,
X00A3,SYN-00A3,,
X00A4,SYN-00A4,,
X00A5,SYN-00A5,,
X00A6,SYN-00A6,,
X00A7,SYN-00A7,,
X00A8,SYN-00A8,,
X00A9,SYN-00A9,,
X00AA,SYN-00AA,,
X00AB,SYN-00AB,,
X00AC,SYN-00AC,,
X00AD,SYN-00AD,,
X00AE,SYN-00AE,,
X00AF,SYN-00AF,,
X00B0,SYN-00B0,,
X00B1,SYN-00B1,,
X00B2,SYN-00B2,,
X00B3,SYN-00B3,,
X00B4,SYN-00B4,,
X00B5,SYN-00B5,,
X00B6,SYN-00B6,,
X00B7,SYN-00B7,,
X00B8,SYN-00B8,,
X00B9,SYN-00B9,,
X00BA,SYN-00BA,,
X00BB,SYN-00BB,,
X00BC,SYN-00BC,,
X00BD,SYN-00BD,,
X00BE,SYN-00BE,,
X00BF,SYN-00BF,,
X00C0,SYN-00C0,,
X00C1,SYN-00C1,,
X00C2,SYN-00C2,,
X00C3,SYN-00C3,,
X00C4,SYN-00C4,,
X00C5,SYN-00C5,,
X00C6,SYN-00C6,,
X00C7,SYN-00C7,,
X00C8,SYN-00C8,,
X00C9,SYN-00C9,,
X00CA,SYN-00CA,,
X00CB,SYN-00CB,,
X00CC,SYN-00CC,,
X00CD,SYN-00CD,,
X00CE,SYN-00CE,,
X00CF,SYN-00CF,,
X00D0,SYN-00D0,,
X00D1,SYN-00D1,,
X00D2,SYN-00D2,,
X00D3,SYN-00D3,,
X00D4,SYN-00D4,,
X00D5,SYN-00D5,,
X00D6,SYN-00D6,,
X00D7,SYN-00D7,,
X00D8,SYN-00D8,,
X00D9,SYN-00D9,,
X00DA,SYN-00DA,,
X00DB,SYN-00DB,,
X00DC,SYN-00DC,,
X00DD,SYN-00DD,,
X00DE,SYN-00DE,,
X00DF,SYN-00DF,,
X00E0,SYN-00E0,,
X00E1,SYN-00E1,,
X00E2,SYN-00E2,,
X00E3,SYN-00E3,,
X00E4,SYN-00E4,,
X00E5,SYN-00E5,,
X00E6,SYN-00E6,,
X00E7,SYN-00E7,,
X00E8,SYN-00E8,,
X00E9,SYN-00E9,,
X00EA,SYN-00EA,,
X00EB,SYN-00EB,,
X00EC,SYN-00EC,,
X00ED,SYN-00ED,,
X00EE,SYN-00EE,,
X00EF,SYN-00EF,,
X00F0,SYN-00F0,,
X00F1,SYN-00F1,,
X00F2,SYN-00F2,,
X00F3,SYN-00F3,,
X00F4,SYN-00F4,,
X00F5,SYN-00F5,,
X00F6,SYN-00F6,,
X00F7,SYN-00F7,,
X00F8,SYN-00F8,,
X00F9,SYN-00F9,,
X00FA,SYN-00FA,,
X00FB,SYN-00FB,,
X00FC,SYN-00FC,,
X00FD,SYN-00FD,,
X00FE,SYN-00FE,,
X00FF,SYN-00FF,,
X0100,SYN-0100,,
X0101,SYN-0101,,
X0102,SYN-0102,,
X0103,SYN-0103,,
X0104,SYN-0104,,
X0105,SYN-0105,,
X0106,SYN-0106,,
X0107,SYN-0107,,
X0108,SYN-0108,,
X0109,SYN-0109,,
X010A,SYN-010A,,
X010B,SYN-010B,,
X010C,SYN-010C,,
X010D,SYN-010D,,
X010E,SYN-010E,,
X010F,SYN-010F,,
X0110,SYN-0110,,
X0111,SYN-0111,,
X0112,SYN-0112,,
X0113,SYN-0113,,
X0114,SYN-0114,,
X0115,SYN-0115,,
X0116,SYN-0116,,
X0117,SYN-0117,,
X0118,SYN-0118,,
X0119,SYN-0119,,
X011A,SYN-011A,,
X011B,SYN-011B,,
X011C,SYN-011C,,
X011D,SYN-011D,,
X011E,SYN-011E,,
X011F,SYN-011F,,
X0120,SYN-0120,,
X0121,SYN-0121,,
X0122,SYN-0122,,
X0123,SYN-0123,,
X0124,SYN-0124,,
X0125,SYN-0125,,
X0126,SYN-0126,,
X0127,SYN-0127,,
X0128,SYN-0128,,
X0129,SYN-0129,,
X012A,SYN-012A,,
X012B,SYN-012B,,
X012C,SYN-012C,,
X012D,SYN-012D,,
X012E,SYN-012E,,
X012F,SYN-012F,,
X0130,SYN-0130,,
X0131,SYN-0131,,
X0132,SYN-0132,,
X0133,SYN-0133,,
X0134,SYN-0134,,
X0135,SYN-0135,,
X0136,SYN-0136,,
X0137,SYN-0137,,
X0138,SYN-0138,,
X0139,SYN-0139,,
X013A,SYN-013A,,
X013B,SYN-013B,,
X013C,SYN-013C,,
X013D,SYN-013D,,
X013E,SYN-013E,,
X013F,SYN-013F,,
X0140,SYN-0140,,
X0141,SYN-0141,,
X0142,SYN-0142,,
X0143,SYN-0143,,
X0144,SYN-0144,,
X0145,SYN-0145,,
X0146,SYN-0146,,
X0147,SYN-0147,,
X0148,SYN-0148,,
X0149,SYN-0149,,
X014A,SYN-014A,,
X014B,SYN-014B,,
X014C,SYN-014C,,
X014D,SYN-014D,,
X014E,SYN-014E,,
X014F,SYN-014F,,
X0150,SYN-0150,,
X0151,SYN-0151,,
X0152,SYN-0152,,
X0153,SYN-0153,,
X0154,SYN-0154,,
X0155,SYN-0155,,
X0156,SYN-0156,,
X0157,SYN-0157,,
X0158,SYN-0158,,
X0159,SYN-0159,,
X015A,SYN-015A,,
X015B,SYN-015B,,
X015C,SYN-015C,,
X015D,SYN-015D,,
X015E,SYN-015E,,
X015F,SYN-015F,,
X0160,SYN-0160,,
X0161,SYN-0161,,
X0162,SYN-0162,,
X0163,SYN-0163,,
X0164,SYN-0164,,
X0165,SYN-0165,,
X0166,SYN-0166,,
X0167,SYN-0167,,
X0168,SYN-0168,,
X0169,SYN-0169,,
X016A,SYN-016A,,
X016B,SYN-016B,,
X016C,SYN-016C,,
X016D,SYN-016D,,
X016E,SYN-016E,,
X016F,SYN-016F,,
X0170,SYN-0170,,
X0171,SYN-0171,,
X0172,SYN-0172,,
X0173,SYN-0173,,
X0174,SYN-0174,,
X0175,SYN-0175,,
X0176,SYN-0176,,
X0177,SYN-0177,,
X0178,SYN-0178,,
X0179,SYN-0179,,
X017A,SYN-017A,,
X017B,SYN-017B,,
X017C,SYN-017C,,
X017D,SYN-017D,,
X017E,SYN-017E,,
X017F,SYN-017F,,
X0180,SYN-0180,,
X0181,SYN-0181,,
X0182,SYN-0182,,
X0183,SYN-0183,,
X0184,SYN-0184,,
X0185,SYN-0185,,
X0186,SYN-0186,,
X0187,SYN-0187,,
X0188,SYN-0188,,
X0189,SYN-0189,,
X018A,SYN-018A,,
X018B,SYN-018B,,
X018C,SYN-018C,,
X018D,SYN-018D,,
X018E,SYN-018E,,
X018F,SYN-018F,,
X0190,SYN-0190,,
X0191,SYN-0191,,
X0192,SYN-0192,,
X0193,SYN-0193,,
X0194,SYN-0194,,
X0195,SYN-0195,,
X0196,SYN-0196,,
X0197,SYN-0197,,
X0198,SYN-0198,,
X0199,SYN-0199,,
X019A,SYN-019A,,
X019B,SYN-019B,,
X019C,SYN-019C,,
X019D,SYN-019D,,
X019E,SYN-019E,,
X019F,SYN-019F,,
X01A0,SYN-01A0,,
X01A1,SYN-01A1,,
X01A2,SYN-01A2,,
X01A3,SYN-01A3,,
X01A4,SYN-01A4,,
X01A5,SYN-01A5,,
X01A6,SYN-01A6,,
X01A7,SYN-01A7,,
X01A8,SYN-01A8,,
X01A9,SYN-01A9,,
X01AA,SYN-01AA,,
X01AB,SYN-01AB,,
X01AC,SYN-01AC,,
X01AD,SYN-01AD,,
X01AE,SYN-01AE,,
X01AF,SYN-01AF,,
X01B0,SYN-01B0,,
X01B1,SYN-01B1,,
X01B2,SYN-01B2,,
X01B3,SYN-01B3,,
X01B4,SYN-01B4,,
X01B5,SYN-01B5,,
X01B6,SYN-01B6,,
X01B7,SYN-01B7,,
X01B8,SYN-01B8,,
X01B9,SYN-01B9,,
X01BA,SYN-01BA,,
X01BB,SYN-01BB,,
X01BC,SYN-01BC,,
X01BD,SYN-01BD,,
X01BE,SYN-01BE,,
X01BF,SYN-01BF,,
X01C0,SYN-01C0,,
X01C1,SYN-01C1,,
X01C2,SYN-01C2,,
X01C3,SYN-01C3,,
X01C4,SYN-01C4,,
X01C5,SYN-01C5,,
X01C6,SYN-01C6,,
X01C7,SYN-01C7,,
X01C8,SYN-01C8,,
X01C9,SYN-01C9,,
X01CA,SYN-01CA,,
X01CB,SYN-01CB,,
X01CC,SYN-01CC,,
X01CD,SYN-01CD,,
X01CE,SYN-01CE,,
X01CF,SYN-01CF,,
X01D0,SYN-01D0,,
X01D1,SYN-01D1,,
X01D2,SYN-01D2,,
X01D3,SYN-01D3,,
X01D4,SYN-01D4,,
X01D5,SYN-01D5,,
X01D6,SYN-01D6,,
X01D7,SYN-01D7,,
X01D8,SYN-01D8,,
X01D9,SYN-01D9,,
X01DA,SYN-01DA,,
X01DB,SYN-01DB,,
X01DC,SYN-01DC,,
X01DD,SYN-01DD,,
X01DE,SYN-01DE,,
X01DF,SYN-01DF,,
X01E0,SYN-01E0,,
X01E1,SYN-01E1,,
X01E2,SYN-01E2,,
X01E3,SYN-01E3,,
X01E4,SYN-01E4,,
X01E5,SYN-01E5,,
X01E6,SYN-01E6,,
X01E7,SYN-01E7,,
X01E8,SYN-01E8,,
X01E9,SYN-01E9,,
X01EA,SYN-01EA,,
X01EB,SYN-01EB,,
X01EC,SYN-01EC,,
X01ED,SYN-01ED,,
X01EE,SYN-01EE,,
X01EF,SYN-01EF,,
X01F0,SYN-01F0,,
X01F1,SYN-01F1,,
X01F2,SYN-01F2,,
X01F3,SYN-01F3,,
X01F4,SYN-01F4,,
X01F5,SYN-01F5,,
X01F6,SYN-01F6,,
X01F7,SYN-01F7,,
X01F8,SYN-01F8,,
X01F9,SYN-01F9,,
X01FA,SYN-01FA,,
X01FB,SYN-01FB,,
X01FC,SYN-01FC,,
X01FD,SYN-01FD,,
X01FE,SYN-01FE,,
X01FF,SYN-01FF,,
X0200,SYN-0200,,
X0201,SYN-0201,,
X0202,SYN-0202,,
X0203,SYN-0203,,
X0204,SYN-0204,,
X0205,SYN-0205,,
X0206,SYN-0206,,
X0207,SYN-0207,,
X0208,SYN-0208,,
X0209,SYN-0209,,
X020A,SYN-020A,,
X020B,SYN-020B,,
X020C,SYN-020C,,
X020D,SYN-020D,,
X020E,SYN-020E,,
X020F,SYN-020F,,
X0210,SYN-0210,,
X0211,SYN-0211,,
X0212,SYN-0212,,
X0213,SYN-0213,,
X0214,SYN-0214,,
X0215,SYN-0215,,
X0216,SYN-0216,,
X0217,SYN-0217,,
X0218,SYN-0218,,
X0219,SYN-0219,,
X021A,SYN-021A,,
X021B,SYN-021B,,
X021C,SYN-021C,,
X021D,SYN-021D,,
X021E,SYN-021E,,
X021F,SYN-021F,,
X0220,SYN-0220,,
X0221,SYN-0221,,
X0222,SYN-0222,,
X0223,SYN-0223,,
X0224,SYN-0224,,
X0225,SYN-0225,,
X0226,SYN-0226,,
X0227,SYN-0227,,
X0228,SYN-0228,,
X0229,SYN-0229,,
X022A,SYN-022A,,
X022B,SYN-022B,,
X022C,SYN-022C,,
X022D,SYN-022D,,
X022E,SYN-022E,,
X022F,SYN-022F,,
X0230,SYN-0230,,
X0231,SYN-0231,,
X0232,SYN-0232,,
X0233,SYN-0233,,
X0234,SYN-0234,,
X0235,SYN-0235,,
X0236,SYN-0236,,
X0237,SYN-0237,,
X0238,SYN-0238,,
X0239,SYN-0239,,
X023A,SYN-023A,,
X023B,SYN-023B,,
X023C,SYN-023C,,
X023D,SYN-023D,,
X023E,SYN-023E,,
X023F,SYN-023F,,
X0240,SYN-0240,,
X0241,SYN-0241,,
X0242,SYN-0242,,
X0243,SYN-0243,,
X0244,SYN-0244,,
X0245,SYN-0245,,
X0246,SYN-0246,,
X0247,SYN-0247,,
X0248,SYN-0248,,
X0249,SYN-0249,,
X024A,SYN-024A,,
X024B,SYN-024B,,
X024C,SYN-024C,,
X024D,SYN-024D,,
X024E,SYN-024E,,
X024F,SYN-024F,,
X0250,SYN-0250,,
X0251,SYN-0251,,
X0252,SYN-0252,,
X0253,SYN-0253,,
X0254,SYN-0254,,
X0255,SYN-0255,,
X0256,SYN-0256,,
X0257,SYN-0257,,
X0258,SYN-0258,,
X0259,SYN-0259,,
X025A,SYN-025A,,
X025B,SYN-025B,,
X025C,SYN-025C,,
X025D,SYN-025D,,
X025E,SYN-025E,,
X025F,SYN-025F,,
X0260,SYN-0260,,
X0261,SYN-0261,,
X0262,SYN-0262,,
X0263,SYN-0263,,
X0264,SYN-0264,,
X0265,SYN-0265,,
X0266,SYN-0266,,
X0267,SYN-0267,,
X0268,SYN-0268,,
X0269,SYN-0269,,
X026A,SYN-026A,,
X026B,SYN-026B,,
X026C,SYN-026C,,
X026D,SYN-026D,,
X026E,SYN-026E,,
X026F,SYN-026F,,
X0270,SYN-0270,,
X0271,SYN-0271,,
X0272,SYN-0272,,
X0273,SYN-0273,,
X0274,SYN-0274,,
X0275,SYN-0275,,
X0276,SYN-0276,,
X0277,SYN-0277,,
X0278,SYN-0278,,
X0279,SYN-0279,,
X027A,SYN-027A,,
X027B,SYN-027B,,
X027C,SYN-027C,,
X027D,SYN-027D,,
X027E,SYN-027E,,
X027F,SYN-027F,,
X0280,SYN-0280,,
X0281,SYN-0281,,
X0282,SYN-0282,,
X0283,SYN-0283,,
X0284,SYN-0284,,
X0285,SYN-0285,,
X0286,SYN-0286,,
X0287,SYN-0287,,
X0288,SYN-0288,,
X0289,SYN-0289,,
X028A,SYN-028A,,
X028B,SYN-028B,,
X028C,SYN-028C,,
X028D,SYN-028D,,
X028E,SYN-028E,,
X028F,SYN-028F,,
X0290,SYN-0290,,
X0291,SYN-0291,,
X0292,SYN-0292,,
X0293,SYN-0293,,
X0294,SYN-0294,,
X0295,SYN-0295,,
X0296,SYN-0296,,
X0297,SYN-0297,,
X0298,SYN-0298,,
X0299,SYN-0299,,
X029A,SYN-029A,,
X029B,SYN-029B,,
X029C,SYN-029C,,
X029D,SYN-029D,,
X029E,SYN-029E,,
X029F,SYN-029F,,
X02A0,SYN-02A0,,
X02A1,SYN-02A1,,
X02A2,SYN-02A2,,
X02A3,SYN-02A3,,
X02A4,SYN-02A4,,
X02A5,SYN-02A5,,
X02A6,SYN-02A6,,
X02A7,SYN-02A7,,
X02A8,SYN-02A8,,
X02A9,SYN-02A9,,
X02AA,SYN-02AA,,
X02AB,SYN-02AB,,
X02AC,SYN-02AC,,
X02AD,SYN-02AD,,
X02AE,SYN-02AE,,
X02AF,SYN-02AF,,
X02B0,SYN-02B0,,
X02B1,SYN-02B1,,
X02B2,SYN-02B2,,
X02B3,SYN-02B3,,
X02B4,SYN-02B4,,
X02B5,SYN-02B5,,
X02B6,SYN-02B6,,
X02B7,SYN-02B7,,
X02B8,SYN-02B8,,
X02B9,SYN-02B9,,
X02BA,SYN-02BA,,
X02BB,SYN-02BB,,
X02BC,SYN-02BC,,
X02BD,SYN-02BD,,
X02BE,SYN-02BE,,
X02BF,SYN-02BF,,
X02C0,SYN-02C0,,
X02C1,SYN-02C1,,
X02C2,SYN-02C2,,
X02C3,SYN-02C3,,
X02C4,SYN-02C4,,
X02C5,SYN-02C5,,
X02C6,SYN-02C6,,
X02C7,SYN-02C7,,
X02C8,SYN-02C8,,
X02C9,SYN-02C9,,
X02CA,SYN-02CA,,
X02CB,SYN-02CB,,
X02CC,SYN-02CC,,
X02CD,SYN-02CD,,
X02CE,SYN-02CE,,
X02CF,SYN-02CF,,
X02D0,SYN-02D0,,
X02D1,SYN-02D1,,
X02D2,SYN-02D2,,
X02D3,SYN-02D3,,
X02D4,SYN-02D4,,
X02D5,SYN-02D5,,
X02D6,SYN-02D6,,
X02D7,SYN-02D7,,
X02D8,SYN-02D8,,
X02D9,SYN-02D9,,
X02DA,SYN-02DA,,
X02DB,SYN-02DB,,
X02DC,SYN-02DC,,
X02DD,SYN-02DD,,
X02DE,SYN-02DE,,
X02DF,SYN-02DF,,
X02E0,SYN-02E0,,
X02E1,SYN-02E1,,
X02E2,SYN-02E2,,
X02E3,SYN-02E3,,
X02E4,SYN-02E4,,
X02E5,SYN-02E5,,
X02E6,SYN-02E6,,
X02E7,SYN-02E7,,
X02E8,SYN-02E8,,
X02E9,SYN-02E9,,
X02EA,SYN-02EA,,
X02EB,SYN-02EB,,
X02EC,SYN-02EC,,
X02ED,SYN-02ED,,
X02EE,SYN-02EE,,
X02EF,SYN-02EF,,
X02F0,SYN-02F0,,
X02F1,SYN-02F1,,
X02F2,SYN-02F2,,
X02F3,SYN-02F3,,
X02F4,SYN-02F4,,
X02F5,SYN-02F5,,
X02F6,SYN-02F6,,
X02F7,SYN-02F7,,
X02F8,SYN-02F8,,
X02F9,SYN-02F9,,
X02FA,SYN-02FA,,
X02FB,SYN-02FB,,
X02FC,SYN-02FC,,
X02FD,SYN-02FD,,
X02FE,SYN-02FE,,
X02FF,SYN-02FF,,
X0300,SYN-0300,,
X0301,SYN-0301,,
X0302,SYN-0302,,
X0303,SYN-0303,,
X0304,SYN-0304,,
X0305,SYN-0305,,
X0306,SYN-0306,,
X0307,SYN-0307,,
X0308,SYN-0308,,
X0309,SYN-0309,,
X030A,SYN-030A,,
X030B,SYN-030B,,
X030C,SYN-030C,,
X030D,SYN-030D,,
X030E,SYN-030E,,
X030F,SYN-030F,,
X0310,SYN-0310,,
X0311,SYN-0311,,
X0312,SYN-0312,,
X0313,SYN-0313,,
X0314,SYN-0314,,
X0315,SYN-0315,,
X0316,SYN-0316,,
X0317,SYN-0317,,
X0318,SYN-0318,,
X0319,SYN-0319,,
X031A,SYN-031A,,
X031B,SYN-031B,,
X031C,SYN-031C,,
X031D,SYN-031D,,
X031E,SYN-031E,,
X031F,SYN-031F,,
X0320,SYN-0320,,
X0321,SYN-0321,,
X0322,SYN-0322,,
X0323,SYN-0323,,
X0324,SYN-0324,,
X0325,SYN-0325,,
X0326,SYN-0326,,
X0327,SYN-0327,,
X0328,SYN-0328,,
X0329,SYN-0329,,
X032A,SYN-032A,,
X032B,SYN-032B,,
X032C,SYN-032C,,
X032D,SYN-032D,,
X032E,SYN-032E,,
X032F,SYN-032F,,
X0330,SYN-0330,,
X0331,SYN-0331,,
X0332,SYN-0332,,
X0333,SYN-0333,,
X0334,SYN-0334,,
X0335,SYN-0335,,
X0336,SYN-0336,,
X0337,SYN-0337,,
X0338,SYN-0338,,
X0339,SYN-0339,,
X033A,SYN-033A,,
X033B,SYN-033B,,
X033C,SYN-033C,,
X033D,SYN-033D,,
X033E,SYN-033E,,
X033F,SYN-033F,,
X0340,SYN-0340,,
X0341,SYN-0341,,
X0342,SYN-0342,,
X0343,SYN-0343,,
X0344,SYN-0344,,
X0345,SYN-0345,,
X0346,SYN-0346,,
X0347,SYN-0347,,
X0348,SYN-0348,,
X0349,SYN-0349,,
X034A,SYN-034A,,
X034B,SYN-034B,,
X034C,SYN-034C,,
X034D,SYN-034D,,
X034E,SYN-034E,,
X034F,SYN-034F,,
X0350,SYN-0350,,
X0351,SYN-0351,,
X0352,SYN-0352,,
X0353,SYN-0353,,
X0354,SYN-0354,,
X0355,SYN-0355,,
X0356,SYN-0356,,
X0357,SYN-0357,,
X0358,SYN-0358,,
X0359,SYN-0359,,
X035A,SYN-035A,,
X035B,SYN-035B,,
X035C,SYN-035C,,
X035D,SYN-035D,,
X035E,SYN-035E,,
X035F,SYN-035F,,
X0360,SYN-0360,,
X0361,SYN-0361,,
X0362,SYN-0362,,
X0363,SYN-0363,,
X0364,SYN-0364,,
X0365,SYN-0365,,
X0366,SYN-0366,,
X0367,SYN-0367,,
X0368,SYN-0368,,
X0369,SYN-0369,,
X036A,SYN-036A,,
X036B,SYN-036B,,
X036C,SYN-036C,,
X036D,SYN-036D,,
X036E,SYN-036E,,
X036F,SYN-036F,,
X0370,SYN-0370,,
X0371,SYN-0371,,
X0372,SYN-0372,,
X0373,SYN-0373,,
X0374,SYN-0374,,
X0375,SYN-0375,,
X0376,SYN-0376,,
X0377,SYN-0377,,
X0378,SYN-0378,,
X0379,SYN-0379,,
X037A,SYN-037A,,
X037B,SYN-037B,,
X037C,SYN-037C,,
X037D,SYN-037D,,
X037E,SYN-037E,,
X037F,SYN-037F,,
X0380,SYN-0380,,
X0381,SYN-0381,,
X0382,SYN-0382,,
X0383,SYN-0383,,
X0384,SYN-0384,,
X0385,SYN-0385,,
X0386,SYN-0386,,
X0387,SYN-0387,,
X0388,SYN-0388,,
X0389,SYN-0389,,
X038A,SYN-038A,,
X038B,SYN-038B,,
X038C,SYN-038C,,
X038D,SYN-038D,,
X038E,SYN-038E,,
X038F,SYN-038F,,
X0390,SYN-0390,,
X0391,SYN-0391,,
X0392,SYN-0392,,
X0393,SYN-0393,,
X0394,SYN-0394,,
X0395,SYN-0395,,
X0396,SYN-0396,,
X0397,SYN-0397,,
X0398,SYN-0398,,
X0399,SYN-0399,,
X039A,SYN-039A,,
X039B,SYN-039B,,
X039C,SYN-039C,,
X039D,SYN-039D,,
X039E,SYN-039E,,
X039F,SYN-039F,,
X03A0,SYN-03A0,,
X03A1,SYN-03A1,,
X03A2,SYN-03A2,,
X03A3,SYN-03A3,,
X03A4,SYN-03A4,,
X03A5,SYN-03A5,,
X03A6,SYN-03A6,,
X03A7,SYN-03A7,,
X03A8,SYN-03A8,,
X03A9,SYN-03A9,,
X03AA,SYN-03AA,,
X03AB,SYN-03AB,,
X03AC,SYN-03AC,,
X03AD,SYN-03AD,,
X03AE,SYN-03AE,,
X03AF,SYN-03AF,,
X03B0,SYN-03B0,,
X03B1,SYN-03B1,,
X03B2,SYN-03B2,,
X03B3,SYN-03B3,,
X03B4,SYN-03B4,,
X03B5,SYN-03B5,,
X03B6,SYN-03B6,,
X03B7,SYN-03B7,,
X03B8,SYN-03B8,,
X03B9,SYN-03B9,,
X03BA,SYN-03BA,,
X03BB,SYN-03BB,,
X03BC,SYN-03BC,,
X03BD,SYN-03BD,,
X03BE,SYN-03BE,,
X03BF,SYN-03BF,,
X03C0,SYN-03C0,,
X03C1,SYN-03C1,,
X03C2,SYN-03C2,,
X03C3,SYN-03C3,,
X03C4,SYN-03C4,,
X03C5,SYN-03C5,,
X03C6,SYN-03C6,,
X03C7,SYN-03C7,,
X03C8,SYN-03C8,,
X03C9,SYN-03C9,,
X03CA,SYN-03CA,,
X03CB,SYN-03CB,,
X03CC,SYN-03CC,,
X03CD,SYN-03CD,,
X03CE,SYN-03CE,,
X03CF,SYN-03CF,,
X03D0,SYN-03D0,,
X03D1,SYN-03D1,,
X03D2,SYN-03D2,,
X03D3,SYN-03D3,,
X03D4,SYN-03D4,,
X03D5,SYN-03D5,,
X03D6,SYN-03D6,,
X03D7,SYN-03D7,,
X03D8,SYN-03D8,,
X03D9,SYN-03D9,,
X03DA,SYN-03DA,,
X03DB,SYN-03DB,,
X03DC,SYN-03DC,,
X03DD,SYN-03DD,,
X03DE,SYN-03DE,,
X03DF,SYN-03DF,,
X03E0,SYN-03E0,,
X03E1,SYN-03E1,,
X03E2,SYN-03E2,,
X03E3,SYN-03E3,,
X03E4,SYN-03E4,,
X03E5,SYN-03E5,,
X03E6,SYN-03E6,,
X03E7,SYN-03E7,,
X03E8,SYN-03E8,,
X03E9,SYN-03E9,,
X03EA,SYN-03EA,,
